Designator,Mid X,Mid Y,Rotation,Layer
A1,82.34,-61.07,0.0,top
BT1,83.693,-99.06,0.0,top
C1,83.929,-88.932,270.0,top
C10,111.873,-85.956,90.0,top
C11,102.743,-85.3655,180.0,top
C12,102.743,-83.3855,180.0,top
C13,98.891,-95.758,270.0,top
C14,96.901,-93.599,90.0,top
C15,109.093,-97.9385,0.0,top
C16,109.093,-99.9385,0.0,top
C17,101.346,-102.108,180.0,top
C18,83.404,-68.65,0.0,top
C19,83.339,-62.305,0.0,top
C2,81.879,-88.932,270.0,top
C20,81.334,-68.65,180.0,top
C3,90.17,-93.091,0.0,top
C5,91.186,-89.916,270.0,top
C6,116.84,-100.33,60.0,top
C7,109.865,-79.846,270.0,top
C8,106.785,-79.846,270.0,top
C9,113.833,-85.956,90.0,top
D1,113.919,-82.169,270.0,top
D2,113.792,-89.789,90.0,top
D3,76.9396,-87.904,180.0,top
J1,115.264141,-99.240348,60.0,top
J2,73.152,-66.421,0.0,top
L1,82.309,-65.455,90.0,top
QE1,77.4946,-91.389,180.0,top
R1,107.061,-102.235,0.0,top
R2,111.907,-82.1645,270.0,top
R3,113.772,-93.599,270.0,top
R4,111.53,-89.85,270.0,top
SWE1,101.981,-99.4625,0.0,top
U1,89.98,-78.57,180.0,top
U2,105.156,-91.567,270.0,top
U3,87.329,-89.982,180.0,top
U4,106.045,-75.057,90.0,top
Y1,108.345,-83.066,180.0,top
